1 1
1 1
1 1
1 1
1 1
1 1
1 1
1 1
1 1
1 1
2 1.85
2 1.9
2 1.85
2 1.85
2 1.92
2 1.9
2 1.8
2 1.86
2 1.83
2 1.83
3 2.3
3 2.35
3 2.46
3 2.31
3 2.18
3 2.52
3 2.45
3 2.36
3 2.33
3 2.43
4 2.81
4 2.53
4 2.65
4 2.57
4 2.56
4 2.76
4 2.81
4 2.81
4 2.57
4 2.77
5 2.87
5 2.91
5 3.13
5 2.87
5 3.06
5 3.1
5 2.99
5 3.05
5 3.13
5 2.91
6 2.8
6 3.16
6 3.16
6 3.12
6 3.21
6 3.12
6 3.06
6 3.03
6 3.02
6 3.16
7 3.3
7 3.34
7 3.29
7 3.37
7 3.35
7 3.34
7 3.32
7 3.39
7 3.34
7 3.35
8 3.25
8 3.29
8 3.27
8 3.29
8 3.3
8 3.32
8 3.19
8 3.24
8 3.29
8 3.3
