1 1
1 1
1 1
1 1
1 1
1 1
1 1
1 1
1 1
1 1
2 1.97
2 1.98
2 1.97
2 1.98
2 1.97
2 1.98
2 1.97
2 1.98
2 1.98
2 1.98
3 2.73
3 2.74
3 2.73
3 2.74
3 2.74
3 2.74
3 2.74
3 2.74
3 2.76
3 2.74
4 3.46
4 3.46
4 3.46
4 3.46
4 3.46
4 3.46
4 3.46
4 3.46
4 3.46
4 3.44
5 4.44
5 4.44
5 4.44
5 4.44
5 4.44
5 4.44
5 4.44
5 4.44
5 4.44
5 4.44
6 4.65
6 4.65
6 4.65
6 4.69
6 4.65
6 4.65
6 4.65
6 4.65
6 4.69
6 4.65
7 6.51
7 6.51
7 6.51
7 6.42
7 6.42
7 6.42
7 6.42
7 6.51
7 6.42
7 6.42
8 6.42
8 6.42
8 6.51
8 6.34
8 6.42
8 6.42
8 6.51
8 6.51
8 6.42
8 6.42
